Timestamp:,2022-01-28T13:21:16.125491
 Laser line number: ,41 
 Laser line name:, 612_REP_2 
 Laser image name:, 612_REP 
 Starting X:, 15999.49 
 Starting Y:,17702.29 
 Starting Z:, 32968.0 
 Spot size:, 5.0 
 Spot spacing:, 0.5 
 Number of shots:, 4583 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
51166.882,15999.49,17702.29,692307.0,335.206,141517.0,919900.0,107401.0,73066.9,213.934,59.4061,0.0,20.1727,1212.05,8683.47,1610.72,1298.32,1923.69,2345.65,639.367,1153.67,798.170,259.098,925.095,149.532,117.295,58.7242,1274.53,3555.34,1154.07,423.919,1074.73,262.929,0.0,28.2348,80.7742,573.465,43.1235,2619.68,671.237,295.063,123.184,2706.08,1138.50,753.744,804.153,1435.85,204.840,233.857,985.773,420.661,1884.13,330.643,2009.22,454.261,1812.31,262.086,1752.84,265.226,1153.28,295.971,87.1053,0.0,39.3455,40.4727,109.039,36.3295,253.839,807.553,1314.81,582.823,1072.79
51267.0108,16004.49,17702.29,703729.0,212.323,144216.0,966937.0,96916.1,66548.5,267.833,22.0295,0.0,20.5235,1207.46,8105.02,1095.23,1207.87,1538.83,1931.26,544.156,1053.71,712.209,233.430,796.002,180.898,148.817,24.7235,1111.02,3252.91,1220.38,473.486,873.159,176.345,0.0,33.1182,111.157,423.441,50.6735,2148.19,632.564,308.568,133.636,2177.88,974.522,583.952,673.927,1341.67,233.186,172.075,965.025,469.049,1859.47,295.761,1646.37,431.561,1761.39,484.547,1587.89,270.503,1155.24,228.232,67.7924,4.50833,21.7053,35.6879,89.75,34.6432,210.273,576.904,1153.86,656.877,1001.14
51367.1396,16009.49,17702.29,715012.0,206.198,137412.0,973377.0,91096.9,62243.3,250.488,57.5250,3.32727,2.65455,1054.07,7404.99,1029.99,1022.99,1442.09,1888.15,609.790,1086.08,660.994,183.527,734.213,183.959,107.731,28.0924,1007.71,2985.49,1010.12,431.993,964.647,157.411,5.30909,38.6765,116.706,383.091,32.5,1969.49,656.605,304.547,170.555,2101.18,840.622,643.294,648.221,1073.04,181.478,169.054,814.337,358.151,1558.41,318.471,1677.86,502.504,1657.81,307.010,1498.32,260.926,1088.31,181.088,73.4129,0.0,22.9886,10.7333,99.5167,33.1318,248.452,716.223,1073.05,601.941,792.567
51467.2684,16014.49,17702.29,756798.0,236.747,148273.0,1.03428e+06,100981.0,67810.0,156.354,51.6242,0.0,12.6523,1215.27,8456.10,1135.83,1220.45,1607.82,2085.04,708.989,1044.35,544.387,205.620,831.296,175.199,133.496,10.9727,1013.99,3371.13,1098.14,491.984,990.570,192.252,0.0,20.4485,116.643,393.739,73.0651,2481.04,614.709,239.707,106.049,2398.27,1012.29,639.370,739.768,1367.10,132.299,173.242,1081.24,457.489,1834.95,321.502,1740.56,536.718,1928.71,366.395,1516.30,288.356,1071.92,252.840,54.7227,0.0,29.5409,11.7485,130.355,7.85,237.208,699.972,1296.80,558.527,945.343
51568.4624,16019.49,17702.29,762769.0,248.660,157809.0,995517.0,107240.0,72679.9,190.968,71.0129,0.0,18.0576,1148.37,8645.13,1192.41,1236.40,1912.06,2270.04,733.246,1026.55,646.079,176.869,788.878,152.106,195.982,26.3780,1233.84,3551.04,1132.82,519.731,1185.67,205.932,0.0,30.2333,80.4205,369.108,65.5197,2333.26,603.947,360.799,187.446,2510.14,1121.39,756.748,768.808,1409.34,214.430,243.968,1000.11,483.647,1837.61,286.630,2032.13,550.134,2049.86,352.197,1776.01,267.194,1267.03,265.759,72.2652,2.93636,26.8386,22.6485,121.904,24.9841,227.357,815.270,1231.93,744.665,1226.55
51668.5912,16024.49,17702.29,759568.0,327.421,160018.0,1.00847e+06,107012.0,74560.0,211.061,52.6977,22.8932,21.4402,1238.10,8628.35,1283.27,1173.69,1969.29,2247.19,573.585,1183.54,708.071,217.391,938.5,167.655,175.171,78.6750,1258.24,3386.26,1157.39,738.239,1053.39,211.050,0.0,11.9508,68.7659,470.589,53.2106,2306.26,601.775,340.883,103.639,2572.10,1207.89,827.159,682.436,1292.80,209.757,201.168,852.574,584.063,1723.98,445.904,1878.42,630.917,2106.03,390.749,1831.52,280.463,1178.82,260.601,84.9758,0.0,37.3326,40.2182,129.758,50.4629,285.702,831.781,1481.22,636.721,1108.96
51768.72,16029.49,17702.29,757293.0,260.889,150870.0,1.01314e+06,103466.0,69611.2,234.165,42.2712,3.44167,9.41667,1166.62,8364.54,1143.77,1290.83,1654.58,2644.79,556.958,987.702,685.899,242.902,698.182,119.518,148.333,27.4432,1030.90,3634.64,1139.89,485.198,1041.21,187.555,3.96364,27.6197,87.4636,516.758,44.2432,2408.21,602.992,351.791,118.352,2547.66,1171.21,699.855,771.966,1437.61,182.201,182.959,879.974,456.471,1957.54,356.214,1878.71,544.121,1914.73,417.692,1795.47,235.938,1222.33,212.265,144.102,0.0,38.3553,18.6258,72.9447,19.5189,204.355,769.958,1280.08,674.202,1108.29
51868.8488,16034.49,17702.29,735634.0,250.795,149110.0,993580.0,102268.0,69370.2,377.626,114.922,0.0,10.9326,1095.28,7826.62,1036.68,1249.08,1867.08,1972.09,618.131,1140.76,653.444,234.891,813.994,112.467,109.748,33.4182,1018.32,3467.95,1081.16,557.378,924.207,179.614,3.77273,30.5447,99.1326,450.676,38.6765,2322.87,591.092,343.227,156.673,2232.00,1153.92,690.119,737.908,1443.50,181.116,217.947,849.923,414.739,1889.04,380.214,1780.44,591.606,1986.75,484.449,1731.25,305.174,1098.56,216.035,51.1182,0.0,41.9242,14.1455,103.836,32.1523,206.691,681.731,1267.30,655.894,1098.73
51968.9776,16039.49,17702.29,717257.0,249.414,139399.0,974462.0,97265.6,67040.1,284.257,37.0318,0.0,14.3621,1054.96,7864.66,1152.58,1090.44,1560.70,1784.88,516.122,1102.49,660.017,186.810,784.346,124.108,197.980,15.6470,984.115,3195.40,1103.01,374.522,1086.05,221.448,25.1091,32.6121,103.602,352.817,27.3341,2143.50,573.131,322.123,135.536,2198.99,1117.44,653.505,528.994,1072.00,158.642,222.942,758.728,339.477,1481.37,320.873,1633.07,552.411,1710.62,313.133,1611.63,334.539,1045.35,206.224,71.8242,0.0,35.3727,28.3364,139.681,17.1015,217.879,763.055,1200.36,678.871,902.209
52069.1064,16044.49,17702.29,758043.0,211.653,153234.0,1.00251e+06,107105.0,74161.5,234.320,35.1909,11.1174,10.9091,1275.44,8666.36,1294.40,1203.40,1645.38,1951.86,502.206,1146.79,646.192,208.742,895.015,233.964,190.311,15.8735,1047.67,3711.44,1129.23,584.445,1125.44,208.595,2.99091,21.7424,86.4356,400.273,69.5901,2413.97,662.520,302.841,216.822,2254.35,1194.55,739.481,756.442,1448.81,245.730,186.932,933.463,455.688,1818.29,325.293,1966.18,509.915,1998.94,357.931,1830.35,282.627,1208.69,236.452,82.8015,2.975,58.9758,6.50758,132.839,8.84546,230.467,749.831,1319.37,654.398,1139.91
