Timestamp:,2022-01-31T11:58:41.138896
 Laser line number: ,86 
 Laser line name:, STATION1A_86 
 Laser image name:, STATION1A 
 Starting X:, 47851.02 
 Starting Y:,42958.12 
 Starting Z:, 32121.0 
 Spot size:, 5.0 
 Spot spacing:, 1.0 
 Number of shots:, 2558 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
2878.1704,47851.02,42958.12,740.75,0.0,20.2000,1937.10,256.350,422.700,14.85,0.0,0.0,0.0,0.0,12.85,0.0,79.1000,0.0,146.350,27.6,0.0,0.0,0.0,0.0,0.0,63.7000,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,58.8000,0.0,0.0,51.6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2890.9528,47856.02,42958.12,275.150,0.0,32.32,2335.77,92.8300,729.400,22.9,0.0,0.0,0.0,0.0,0.0,0.0,77.8700,0.0,36.0800,93.1300,0.0,0.0,0.0,0.0,0.0,14.6400,61.7400,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3600,0.0,0.0,15.05,0.0,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2902.67,47861.02,42958.12,214.030,40.6900,0.0,2499.65,145.490,481.200,49.7000,24.6,0.0,0.0,0.0,0.0,0.0,42.5,0.0,16.7200,28.7000,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,39.4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2915.4524,47866.02,42958.12,0.0,0.0,0.0,2044.62,44.4700,449.160,6.0,17.7000,0.0,0.0,0.0,0.0,0.0,219.820,0.0,91.5800,74.7800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.98,0.0,0.0,12.55,0.0,0.0,98.7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.23,0.0,0.0,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.75,0.0,0.0,0.0,0.0,0.0
2928.2348,47871.02,42958.12,83.93,0.0,0.0,1286.18,340.570,786.940,71.4000,33.6000,0.0,0.0,0.0,0.0,0.0,100.060,0.0,109.300,74.3400,103.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.780,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4200,10.4400,0.0,0.0,0.0,0.0,0.0,10.05,18.5600,0.0,0.0,0.0,0.0,0.0,0.0
2939.952,47876.02,42958.12,531.790,0.0,0.0,887.930,101.300,943.890,38.8300,135.220,0.0,0.0,0.0,0.0,0.0,47.4000,0.0,73.5500,92.9800,0.0,0.0,0.0,0.0,0.0,309.040,0.0,78.1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,31.98,0.0,45.1100,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2952.7344,47881.02,42958.12,192.520,0.0,0.0,1382.22,439.110,109.600,33.4500,19.1200,0.0,0.0,0.0,0.0,0.0,70.2800,60.1500,117.520,35.7200,0.0,0.0,0.0,0.0,0.0,167.990,0.0,0.0,63.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2965.5168,47886.02,42958.12,226.620,0.0,0.0,1007.84,370.030,260.880,0.0,0.0,0.0,0.0,30.1,0.0,0.0,61.8000,0.0,252.810,33.4500,0.0,0.0,0.0,0.0,0.0,36.9000,0.0,34.5800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72,0.0,0.0,15.0400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4500,0.0,0.0,0.0,0.0,0.0
2978.2992,47891.02,42958.12,881.120,0.0,0.0,1600.16,225.440,423.370,13.4,0.0,0.0,0.0,0.0,0.0,0.0,102.970,30.52,31.2000,86.5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2990.0164,47896.02,42958.12,230.480,0.0,0.0,1867.87,210.310,249.760,111.300,0.0,0.0,0.0,13.4,0.0,0.0,107.710,0.0,46.8500,0.0,0.0,0.0,0.0,0.0,0.0,65.6000,0.0,0.0,16.5600,0.0,0.0,0.0,0.0,13.65,0.0,29.5400,0.0,0.0,0.0,10.4400,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3002.7988,47901.02,42958.12,517.520,0.0,0.0,319.270,135.080,572.400,23.27,0.0,0.0,0.0,85.3000,0.0,0.0,56.1000,0.0,26.91,49.0100,0.0,0.0,0.0,0.0,0.0,98.4200,0.0,8.44000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.970,27.0,0.0,32.8800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3015.5812,47906.02,42958.12,231.080,0.0,0.0,885.150,91.2800,235.460,15.4,0.0,0.0,0.0,0.0,0.0,14.0,32.9500,163.350,10.75,24.52,0.0,0.0,0.0,0.0,0.0,15.55,0.0,42.4600,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25,0.0,0.0,0.0,0.0,0.0,0.0,10.92,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
