Timestamp:,2022-01-31T12:08:17.554839
 Laser line number: ,141 
 Laser line name:, STATION1B_41 
 Laser image name:, STATION1B 
 Starting X:, 47851.02 
 Starting Y:,42733.12 
 Starting Z:, 32121.0 
 Spot size:, 5.0 
 Spot spacing:, 1.0 
 Number of shots:, 2558 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
2873.9096,47851.02,42733.12,6162.17,0.0,141.670,54458.3,2558.0,1763.13,104.640,0.0,0.0,0.0,0.0,0.0,16.5500,1.03218e+06,18.75,346.690,17.75,0.0,0.0,0.0,0.0,0.0,65.4700,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2885.6268,47856.02,42733.12,1312.02,0.0,0.0,14259.5,361.680,455.260,56.5400,0.0,0.0,0.0,31.59,0.0,0.0,347483.0,0.0,189.560,81.0400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.300,0.0,0.0,20.1,24.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15,0.0,0.0,0.0,0.0,0.0,0.0
2898.4092,47861.02,42733.12,698.870,0.0,0.0,4687.56,401.300,273.310,51.9400,56.5500,0.0,0.0,0.0,0.0,0.0,79982.1,0.0,65.7300,33.93,0.0,0.0,0.0,0.0,0.0,10.24,0.0,0.0,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2911.1916,47866.02,42733.12,174.900,0.0,0.0,1606.45,273.760,228.620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8762.49,0.0,66.7800,0.0,0.0,0.0,0.0,0.0,0.0,28.25,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0500,119.700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0500,0.0,0.0,0.0,0.0,0.0,0.0
2923.974,47871.02,42733.12,513.020,0.0,0.0,1459.61,263.960,912.900,0.0,16.25,0.0,0.0,0.0,37.5,0.0,1334.92,0.0,62.6700,0.0,0.0,0.0,0.0,0.0,0.0,41.1000,0.0,0.0,37.0500,0.0,0.0,0.0,0.0,0.0,0.0,29.3800,0.0,0.0,0.0,38.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2935.6912,47876.02,42733.12,459.960,0.0,21.5500,1796.75,176.890,765.760,181.470,70.0,0.0,0.0,0.0,0.0,0.0,225.510,0.0,220.220,65.3500,0.0,0.0,0.0,0.0,0.0,119.280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3600,0.0,0.0,0.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,9.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.68,0.0,0.0,0.0,0.0,0.0,0.0
2948.4736,47881.02,42733.12,192.900,0.0,0.0,1236.85,129.960,180.020,51.8600,0.0,0.0,0.0,0.0,0.0,0.0,509.380,29.85,98.9400,39.7000,0.0,0.0,0.0,0.0,0.0,90.7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9000,0.0,0.0,23.9,0.0,0.0,0.0,59.6700,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2961.256,47886.02,42733.12,654.190,105.900,0.0,13670.7,713.380,601.400,23.2800,103.740,0.0,0.0,0.0,0.0,27.0,133003.0,0.0,73.6600,37.7600,0.0,0.0,0.0,0.0,0.0,57.9600,0.0,14.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,147.200,0.0,170.100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2972.9732,47891.02,42733.12,490.350,93.1000,0.0,4421.82,317.590,753.400,39.4000,0.0,0.0,0.0,0.0,0.0,0.0,116139.0,0.0,97.4700,0.0,0.0,0.0,10.55,0.0,0.0,10.45,0.0,18.32,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9600,0.0,0.0,0.0,37.0500,0.0,16.5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.15,0.0,0.0,14.9,68.6000,0.0
2985.7556,47896.02,42733.12,268.120,0.0,55.9000,829.860,362.990,246.320,35.8800,0.0,0.0,0.0,0.0,16.0400,0.0,2959.22,0.0,187.710,100.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0800,0.0,0.0,0.0,0.0,0.0
