Timestamp:,2022-01-31T13:36:46.870411
 Laser line number: ,28 
 Laser line name:, STATION2CREP_28 
 Laser image name:, STATION2CREP 
 Starting X:, 72366.42 
 Starting Y:,77301.0 
 Starting Z:, 32127.2 
 Spot size:, 5.0 
 Spot spacing:, 1.0 
 Number of shots:, 2514 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
20572.2076,72366.42,77301.0,13236.4,0.0,178.75,59306.4,2452.03,2381.43,43.4700,0.0,0.0,0.0,0.0,0.0,154.730,1.59487e+06,45.8900,1123.92,36.9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6400,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0800,0.0,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20584.99,72371.42,77301.0,3321.23,0.0,36.8500,25579.5,511.780,768.300,68.7700,0.0,0.0,0.0,59.7000,0.0,69.0800,634339.0,48.3000,332.440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20597.7724,72376.42,77301.0,9765.75,23.75,96.9500,46272.1,2113.91,1187.05,103.420,0.0,0.0,0.0,0.0,0.0,80.3300,1.18446e+06,0.0,944.260,41.8600,0.0,0.0,0.0,0.0,0.0,24.7000,0.0,52.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0500,0.0,13.45,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6000,0.0,15.0,0.0,0.0,0.0,0.0
20610.5548,72381.42,77301.0,15213.3,16.1,218.430,62145.1,2594.24,1199.86,29.3000,0.0,0.0,0.0,0.0,12.88,20.32,1.74485e+06,47.8800,1229.40,14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56000,0.0,0.0,0.0,35.8600,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1500,0.0,0.0,35.6200,0.0,0.0,0.0
20622.272,72386.42,77301.0,7519.17,32.2000,39.1200,38799.3,1381.03,1305.02,246.620,0.0,0.0,0.0,9.72000,0.0,26.0400,1.05559e+06,0.0,429.220,28.1,0.0,0.0,0.0,0.0,0.0,22.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7000,0.0,67.2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8300,0.0,0.0,0.0,0.0,0.0,0.0
20635.0544,72391.42,77301.0,5256.35,0.0,46.48,27717.7,736.5,954.270,174.570,0.0,0.0,0.0,0.0,0.0,0.0,803227.0,0.0,618.530,76.7300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20647.8368,72396.42,77301.0,2897.13,0.0,25.1,16326.8,602.590,834.270,41.4700,0.0,0.0,0.0,0.0,0.0,0.0,453275.0,26.0,447.150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20660.6192,72401.42,77301.0,703.930,0.0,25.3000,3629.27,318.460,448.800,184.890,13.15,0.0,0.0,12.9,0.0,0.0,86714.6,0.0,78.8800,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4200,0.0,23.0,62.02,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20672.3364,72406.42,77301.0,78.0900,35.2800,0.0,1444.17,181.320,259.740,10.68,0.0,0.0,0.0,25.8000,0.0,0.0,10699.5,73.0500,56.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20685.1188,72411.42,77301.0,367.850,0.0,0.0,895.620,227.660,249.260,45.5500,14.2,0.0,0.0,0.0,0.0,0.0,2261.37,0.0,55.1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7100,20.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95,0.0,0.0,0.0,0.0
