Timestamp:,2022-01-28T13:21:16.125491
 Laser line number: ,40 
 Laser line name:, 612_REP_1 
 Laser image name:, 612_REP 
 Starting X:, 15999.49 
 Starting Y:,17697.29 
 Starting Z:, 32968.0 
 Spot size:, 5.0 
 Spot spacing:, 0.5 
 Number of shots:, 4583 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
2851.5404,15999.49,17697.29,703344.0,312.986,139502.0,938253.0,115325.0,78779.9,228.135,45.4189,3.34167,3.32727,1146.73,8257.81,1367.54,1392.02,1791.08,2665.46,766.224,1299.21,1236.48,331.910,983.662,172.018,197.074,24.1938,1518.87,3685.76,1170.30,640.774,1127.66,228.106,0.0,16.8205,156.174,472.762,84.2238,3068.65,749.303,416.416,164.897,2741.76,1389.03,766.921,782.591,1616.75,151.370,152.444,929.312,593.698,1780.61,366.715,1889.52,473.015,1687.52,429.557,1714.76,386.082,1242.22,298.811,56.1182,7.46667,31.4965,31.9932,84.4145,42.7129,264.425,1046.60,1530.53,620.770,1335.80
2951.6692,16004.49,17697.29,718662.0,261.749,132107.0,983290.0,101445.0,69106.5,277.014,31.3742,0.0,15.9152,1136.83,7986.31,1275.66,1161.95,1619.96,1891.66,556.184,1114.92,791.527,246.135,755.324,182.204,134.193,48.5788,1087.14,3216.07,1014.25,539.067,986.5,185.562,0.0,36.6417,93.5636,437.656,76.8538,2329.40,730.505,281.977,115.648,2415.28,1161.10,589.864,607.783,1244.34,180.857,158.572,843.253,404.324,1690.68,307.308,1710.82,548.589,1538.65,354.809,1573.45,261.008,1072.48,308.035,85.1242,7.16364,10.4455,28.9856,124.396,5.62727,173.735,797.159,1318.41,695.958,1074.56
3051.798,16009.49,17697.29,712560.0,278.283,128808.0,951286.0,97507.3,66793.7,201.029,24.7947,0.0,5.86818,1230.43,7749.43,1169.16,1225.28,1657.25,2098.98,456.865,1093.32,676.852,334.792,702.611,119.195,172.941,48.3341,1030.99,3106.95,933.186,381.611,919.503,230.775,0.0,33.2917,106.095,447.795,29.7652,2252.86,548.923,327.577,163.674,2365.35,1110.48,696.355,676.280,1266.94,180.270,207.889,773.388,456.007,1298.25,357.605,1562.89,437.852,1401.65,300.326,1594.92,306.311,1101.10,158.949,56.2402,6.52879,28.9561,41.6932,131.736,29.7462,148.607,793.652,1305.27,608.895,992.014
3152.992,16014.49,17697.29,726207.0,305.725,136494.0,973919.0,102098.0,69694.4,293.090,40.2144,0.0,20.9182,1022.79,7822.68,1259.48,1145.05,1651.35,1912.58,660.485,1109.37,762.854,237.427,769.514,190.567,207.243,15.3432,1150.38,3452.71,1130.90,525.972,1070.21,128.669,0.0,29.3348,73.8121,507.159,71.1167,2308.79,608.196,376.034,91.6568,2491.31,1005.65,683.423,834.347,1438.77,202.902,224.300,995.184,471.652,1815.04,357.260,1841.34,397.378,1792.91,367.711,1452.28,264.710,1106.26,250.930,77.7659,0.0,42.9076,24.2045,136.391,36.4447,284.169,723.226,1172.85,639.801,1136.16
3253.1208,16019.49,17697.29,754385.0,271.903,145514.0,1.00387e+06,107564.0,74001.7,274.066,42.5826,2.33636,22.5159,1367.61,8702.61,1497.30,1267.05,1716.07,2323.12,621.843,1175.47,792.192,185.837,680.498,163.368,186.413,14.8182,1120.47,3405.82,1208.31,518.863,1128.38,251.783,0.0,26.1167,88.4288,428.439,62.2045,2439.78,633.453,361.470,186.355,2401.99,1274.34,720.318,844.539,1422.33,187.915,182.228,1070.24,455.977,1634.20,343.148,1791.78,487.329,1843.18,270.859,1685.24,354.932,1200.66,278.814,51.8765,3.59091,50.2000,49.0439,144.864,0.0,304.467,915.537,1298.01,536.220,1135.56
3353.2496,16024.49,17697.29,714166.0,345.287,135250.0,946455.0,104789.0,71794.0,291.714,71.1152,0.0,30.9371,1374.33,8163.05,1314.37,1331.59,1690.48,1962.14,519.555,1064.77,656.230,203.108,842.098,147.852,177.100,14.6333,1097.21,3522.28,1048.25,471.558,915.556,146.327,0.0,32.1773,151.579,375.981,59.1894,2441.78,745.033,412.590,171.220,2318.92,1047.99,767.005,718.75,1454.08,152.150,182.389,820.346,440.588,1852.63,328.162,1679.31,435.788,1753.15,381.990,1672.24,296.869,1173.93,239.248,57.6826,0.0,19.1174,38.1932,121.801,20.6144,233.547,879.722,1189.54,584.186,1108.06
3453.3784,16029.49,17697.29,741135.0,274.467,144034.0,969532.0,107362.0,73335.6,258.834,75.4636,7.23409,26.8652,1133.96,8020.68,1379.08,1141.26,1563.32,2321.58,629.792,1207.21,774.773,247.081,878.343,171.942,222.817,21.4864,1257.53,3640.31,1122.35,519.394,1155.53,202.980,0.0,31.1508,196.754,501.030,93.9894,2437.55,714.990,390.439,118.102,2618.82,1284.88,719.641,897.161,1532.40,240.357,181.798,971.269,524.136,1776.60,335.265,1777.72,415.014,1786.48,340.483,1717.48,229.022,1148.67,273.888,74.2924,2.175,46.3349,34.9773,159.473,18.8182,222.992,852.586,1412.26,622.423,1138.95
3553.5072,16034.49,17697.29,708989.0,202.271,132794.0,955955.0,99556.7,66773.7,239.949,29.3379,0.0,49.2061,1060.73,7948.75,1106.80,1143.56,1526.07,2031.49,569.339,1114.09,825.900,224.911,778.012,182.804,163.215,32.9159,1087.81,3147.26,970.315,515.705,933.315,286.263,0.0,31.7455,135.083,324.424,52.9644,2536.72,664.925,388.663,164.506,2138.92,1015.67,573.742,613.092,1359.05,186.409,110.384,809.204,576.495,1716.83,378.366,1747.83,422.807,1704.03,447.695,1424.62,284.577,1023.52,267.186,92.6394,0.0,35.8583,46.7455,81.5750,6.29091,188.899,688.683,1239.20,705.768,1049.60
3653.636,16039.49,17697.29,713502.0,230.258,134596.0,983558.0,105340.0,72150.4,308.725,84.3576,0.0,11.9379,1197.39,7866.29,1174.48,1130.78,1722.07,2312.14,711.212,1105.45,701.510,262.036,756.748,174.658,225.694,21.6273,1083.07,3366.04,1067.05,487.127,1026.31,193.883,0.0,34.3439,134.745,414.343,95.0265,2478.71,707.252,305.997,135.198,2386.20,1211.46,730.092,667.227,1289.97,137.968,174.794,858.253,543.960,1590.68,335.206,1870.62,458.950,1663.14,305.530,1618.99,257.661,1163.93,211.455,78.2318,0.0,22.9235,43.3197,93.0197,9.32879,282.283,792.602,1444.98,702.939,1222.56
3753.7648,16044.49,17697.29,729782.0,311.273,144794.0,981227.0,111144.0,76936.8,274.188,36.7144,0.0,3.51818,1221.80,9075.19,1557.44,1351.29,1985.01,2289.89,703.594,1087.73,876.319,328.695,875.694,265.879,167.695,24.7333,1266.58,3875.06,1131.43,596.298,1064.05,277.543,0.0,30.7303,74.8099,487.255,63.6803,2757.10,795.620,432.305,202.832,2795.10,1280.68,827.873,905.080,1409.52,192.965,194.608,1096.92,481.988,1788.02,293.533,1971.45,521.168,1949.82,335.031,1768.15,224.233,1358.58,214.719,64.9621,0.0,33.5364,24.2826,106.379,26.1879,289.367,710.365,1368.28,873.186,1319.16
