Timestamp:,2022-01-31T11:46:29.116078
 Laser line number: ,19 
 Laser line name:, STATION1A_19 
 Laser image name:, STATION1A 
 Starting X:, 47851.02 
 Starting Y:,42623.12 
 Starting Z:, 32121.0 
 Spot size:, 5.0 
 Spot spacing:, 1.0 
 Number of shots:, 2558 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
33138.372,47851.02,42623.12,331.050,0.0,0.0,1342.38,368.330,898.300,40.6000,24.7000,0.0,0.0,51.1000,0.0,0.0,135.260,0.0,29.15,79.1500,0.0,0.0,0.0,0.0,0.0,92.9100,0.0,0.0,49.2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2300,0.0,0.0,24.8000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09,0.0,0.0,0.0,0.0,0.0
33150.0892,47856.02,42623.12,275.480,0.0,0.0,503.490,297.670,643.620,97.9100,49.4000,0.0,0.0,0.0,0.0,0.0,71.5500,0.0,34.43,67.4700,0.0,0.0,0.0,0.0,0.0,55.4700,0.0,0.0,17.2000,0.0,49.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33162.8716,47861.02,42623.12,437.0,24.85,0.0,2466.82,515.710,355.570,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.320,211.240,0.0,0.0,0.0,0.0,0.0,34.8000,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9700,0.0,0.0,44.7000,0.0,0.0,84.4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0
33175.654,47866.02,42623.12,480.480,0.0,0.0,913.800,292.240,508.550,23.7900,49.0100,0.0,0.0,0.0,0.0,0.0,35.1400,0.0,106.760,74.2100,0.0,0.0,0.0,0.0,0.0,33.8800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2800,0.0,0.0,0.0,0.0,70.9800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
33187.3712,47871.02,42623.12,289.150,77.3000,0.0,1652.13,140.070,194.100,0.0,0.0,0.0,0.0,27.9,0.0,0.0,60.5300,0.0,62.3500,16.68,0.0,0.0,0.0,0.0,0.0,85.0300,0.0,0.0,46.2000,0.0,0.0,0.0,0.0,0.0,0.0,15.55,34.1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,12.6,0.0
33200.1536,47876.02,42623.12,115.770,0.0,0.0,609.080,234.160,596.030,31.6400,0.0,0.0,0.0,0.0,82.3000,0.0,35.3500,28.8000,129.770,7.24,0.0,0.0,0.0,0.0,0.0,49.93,0.0,0.0,0.0,0.0,60.84,0.0,0.0,0.0,0.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33212.936,47881.02,42623.12,825.460,0.0,0.0,250.710,204.210,577.540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0800,16.15,88.0600,67.4700,0.0,0.0,0.0,0.0,0.0,151.340,0.0,0.0,51.6100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.35,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33225.7184,47886.02,42623.12,358.270,0.0,0.0,681.0,318.480,322.910,0.0,30.9400,0.0,0.0,0.0,0.0,0.0,74.7300,17.48,110.620,63.0,0.0,0.0,0.0,0.0,0.0,45.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33237.4356,47891.02,42623.12,293.270,61.3300,0.0,262.810,272.450,670.740,9.64,69.4500,0.0,0.0,0.0,0.0,0.0,76.2900,119.0,190.040,92.3600,0.0,0.0,0.0,0.0,0.0,114.040,0.0,0.0,0.0,0.0,0.0,40.9000,0.0,0.0,0.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33250.218,47896.02,42623.12,699.800,57.0,0.0,1184.22,247.720,134.070,44.6400,27.17,0.0,0.0,0.0,0.0,0.0,27.3000,0.0,17.8000,19.2000,0.0,0.0,0.0,0.0,0.0,21.0400,0.0,0.0,73.9700,0.0,0.0,0.0,0.0,0.0,11.35,0.0,0.0,0.0,0.0,134.100,0.0,22.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
