Timestamp:,2022-01-31T12:27:29.839356
 Laser line number: ,253 
 Laser line name:, STATION1C_53 
 Laser image name:, STATION1C 
 Starting X:, 71068.83 
 Starting Y:,49835.85 
 Starting Z:, 32131.0 
 Spot size:, 5.0 
 Spot spacing:, 1.0 
 Number of shots:, 2558 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
22783.5628,71068.83,49835.85,33827.4,31.65,341.920,137979.0,6284.30,4235.72,38.1900,0.0,0.0,0.0,35.6000,0.0,320.310,4.21908e+06,0.0,3150.63,183.700,0.0,11.68,0.0,0.0,0.0,48.8500,0.0,14.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7000,14.9,0.0,0.0,62.1500,0.0,12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0
22796.3452,71073.83,49835.85,20982.0,0.0,227.740,97772.2,4681.58,4097.73,21.68,0.0,0.0,0.0,0.0,97.3700,82.2400,2.75035e+06,0.0,2208.26,22.6100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0400,177.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22809.1276,71078.83,49835.85,26397.4,108.0,158.170,149080.0,7637.87,4751.68,123.590,32.7000,0.0,0.0,0.0,0.0,293.640,3.05729e+06,29.83,1908.96,0.0,17.2800,0.0,0.0,0.0,0.0,127.310,0.0,0.0,66.9500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22820.8448,71083.83,49835.85,20011.9,65.7200,183.280,120489.0,6115.94,3634.12,251.420,65.4000,0.0,0.0,0.0,0.0,134.0,2.71109e+06,0.0,1496.94,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9600,0.0,0.0,0.0,92.2000,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,0.0,0.0,0.0,0.0,0.0
22833.6272,71088.83,49835.85,5896.85,81.3500,0.0,38242.6,1383.10,989.700,145.150,0.0,0.0,0.0,0.0,0.0,44.5,982624.0,13.45,587.600,79.5,0.0,0.0,0.0,0.0,18.85,39.7000,0.0,70.6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.35,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22846.4096,71093.83,49835.85,305.590,13.7,30.25,6851.82,834.130,739.820,188.470,0.0,0.0,0.0,0.0,0.0,0.0,146809.0,0.0,167.180,32.6000,0.0,0.0,0.0,0.0,0.0,22.6300,0.0,58.3700,8.56000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7000,0.0,0.0,0.0,0.0,38.2000,0.0,0.0,0.0,0.0,0.0,27.9500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22859.192,71098.83,49835.85,931.400,0.0,0.0,2012.54,266.25,219.570,36.1500,0.0,0.0,0.0,12.8,18.5,0.0,46205.4,0.0,102.870,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,22.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08,0.0,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22870.9092,71103.83,49835.85,349.970,41.6700,0.0,3011.67,138.800,418.980,12.15,0.0,0.0,0.0,25.6,0.0,0.0,19590.6,0.0,23.7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22883.6916,71108.83,49835.85,80.4500,0.0,0.0,2543.62,263.230,315.600,39.9000,0.0,0.0,0.0,0.0,0.0,0.0,6021.23,0.0,95.3100,36.66,0.0,0.0,15.75,0.0,0.0,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2000,0.0,0.0,0.0,0.0,37.9400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22896.474,71113.83,49835.85,64.6500,11.7,0.0,910.75,109.010,454.610,11.6,14.55,0.0,0.0,0.0,0.0,0.0,1749.21,0.0,145.370,0.0,0.0,0.0,0.0,0.0,0.0,53.5500,0.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9000,0.0,0.0,0.0,26.3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2000
