Timestamp:,2022-01-31T13:47:37.405364
 Laser line number: ,99 
 Laser line name:, STATION2CREP_99 
 Laser image name:, STATION2CREP 
 Starting X:, 72366.42 
 Starting Y:,77656.0 
 Starting Z:, 32127.2 
 Spot size:, 5.0 
 Spot spacing:, 1.0 
 Number of shots:, 2514 
 Direction of ablation:, 0,Left to Right 
 Cycle time (ms),x [um],y [um],23Na cps,24Mg cps,27Al cps,28Si cps,29Si cps,30Si cps,31P cps,32S cps,39K cps,40Ca cps,45Sc cps,48Ti cps,51V cps,52Cr cps,55Mn cps,56Fe cps,58Ni cps,59Co cps,63Cu cps,64Zn cps,69Ga cps,72Ge cps,75As cps,80Se cps,85Rb cps,88Sr cps,89Y cps,90Zr cps,93Nb cps,95Mo cps,101Ru cps,103Rh cps,105Pd cps,107Ag cps,111Cd cps,115In cps,120Sn cps,123Sb cps,124Te cps,133Cs cps,138Ba cps,139La cps,140Ce cps,141Pr cps,146Nd cps,149Sm cps,153Eu cps,157Gd cps,159Tb cps,163Dy cps,165Ho cps,166Er cps,169Tm cps,172Yb cps,175Lu cps,178Hf cps,181Ta cps,182W cps,185Re cps,189Os cps,193Ir cps,195Pt cps,197Au cps,202Hg cps,205Tl cps,208Pb cps,209Bi cps,232Th cps,238U cps
30045.0312,72366.42,77656.0,13217.3,50.2900,21.85,56817.6,2365.56,1381.31,30.2100,0.0,0.0,0.0,0.0,20.4,70.8000,1.57862e+06,0.0,841.910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30056.7484,72371.42,77656.0,1572.18,0.0,28.75,11470.5,519.730,387.760,89.7200,0.0,0.0,0.0,0.0,0.0,0.0,316149.0,30.84,155.740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1300,15.65,38.6100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30069.5308,72376.42,77656.0,2547.09,201.150,0.0,14697.0,271.210,195.410,213.060,0.0,0.0,0.0,0.0,0.0,22.15,383982.0,11.5,181.900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,87.0800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,39.27,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30082.3132,72381.42,77656.0,1037.90,15.7,0.0,5427.97,544.890,137.75,17.48,19.6,0.0,0.0,9.75,0.0,0.0,172078.0,23.1,120.040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7000
30095.0956,72386.42,77656.0,678.890,109.200,0.0,540.550,168.010,168.080,145.550,0.0,0.0,0.0,24.1,0.0,0.0,14910.8,36.9600,10.5,0.0,0.0,19.08,0.0,0.0,0.0,51.3800,0.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3200
30106.8128,72391.42,77656.0,351.190,15.68,0.0,178.560,277.230,180.620,52.0500,0.0,0.0,0.0,48.2000,0.0,0.0,2663.60,0.0,103.720,0.0,0.0,0.0,0.0,0.0,0.0,37.3100,0.0,30.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30119.5952,72396.42,77656.0,475.080,0.0,0.0,492.350,235.290,244.550,184.040,0.0,0.0,0.0,0.0,0.0,0.0,460.950,0.0,18.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,0.0,0.0,0.0,36.9600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30132.3776,72401.42,77656.0,142.810,0.0,0.0,1544.09,451.740,407.610,68.57,0.0,0.0,21.75,0.0,0.0,0.0,213.560,0.0,146.560,0.0,0.0,0.0,0.0,0.0,19.25,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30145.16,72406.42,77656.0,355.5,0.0,0.0,1085.79,210.710,228.910,23.2900,0.0,0.0,0.0,0.0,0.0,0.0,29.51,0.0,265.75,0.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,90.8700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9000,0.0,32.6200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30156.8772,72411.42,77656.0,506.090,0.0,0.0,411.740,382.950,117.850,58.9700,0.0,0.0,0.0,0.0,0.0,0.0,89.4900,0.0,116.100,17.8000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6400,0.0,0.0,0.0,0.0,0.0
30169.6596,72416.42,77656.0,157.420,0.0,0.0,1093.93,162.360,210.900,8.72000,108.640,0.0,0.0,47.3800,0.0,0.0,0.0,0.0,72.2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
