Station,Cell,Species,Volume
S1,1,3,1570.796327
S1,2,2,4036.94656
S1,3,5,981.7477042
S1,4,4,6848.671985
S1,5,4,6660.176426
S1,6,4,8105.309046
S1,7,5,1570.796327
S1,8,2,3298.672286
S1,9,4,5975.309227
S1,10,4,5529.20307
S1,11,4,7103.926388
S1,12,3,2945.243113
S1,13,3,9220.574438
S1,14,4,6027.145506
S1,15,5,3518.583772
S1,16,4,3405.486436
S1,17,0,10386.89071
S1,18,5,3769.911184
S1,19,4,14753.7045
S1,20,3,1099.557429
S1,21,4,13336.06081
S1,22,4,5050.110191
S1,23,4,3716.504109
S1,24,4,10924.88845
S1,25,1,5658.008369
S1,26,4,11953.76005
S1,27,5,494.8008429
S1,28,1,5965.099051
S1,29,0,2827.433388
S2,1,4,8922.123136
S2,2,4,6770.132168
S2,3,4,14137.16694
S2,4,0,2650.718801
S2,5,4,6708.085714
S2,6,5,753.9822369
S2,7,4,8796.45943
S2,8,5,816.8140899
S2,9,4,12792.56529
S2,10,3,1068.141502
S2,11,1,6145.740629
S2,12,5,1130.973355
S2,13,0,527.7875658
S2,15,5,1156.106097
S2,16,4,9738.937226
S2,17,4,11548.49459
S2,18,0,11762.1229
S2,19,4,9738.937226
S2,20,3,8588.328917
S2,21,0,2042.035225
S2,22,1,9723.229263
S2,23,5,1068.141502
S2,24,5,4264.712027
S2,25,1,5416.105735
S2,26,5,1445.132621
S2,27,1,3681.94659
S2,28,4,4768.937648
S2,29,4,4882.034984
S2,30,1,3681.94659
S2,31,5,1005.309649
S2,32,4,4281.990787
S2,33,5,1005.309649
S2,34,5,2199.114858
S2,35,4,19650.66205
S2,36,4,13006.19359
S2,37,0,816.8140899
S2,38,4,4281.990787
S2,39,0,549.7787144
S2,40,4,6163.804786
S2,41,4,5513.495107
S2,42,4,3807.610296
S2,43,0,502.6548246
S2,44,3,1583.362697
S2,45,4,9437.344331
S2,46,5,603.1857895
S3,2,5,753.9822369
S3,3,5,691.1503838
S3,4,1,2199.114858
S3,5,2,2612.234291
S3,6,4,6860.452957
S3,7,4,9894.446062
S3,8,2,2689.203311
S3,9,4,3620.685533
S3,10,4,3620.685533
S3,11,4,2953.097094
S3,12,4,5489.933162
S3,13,5,1822.123739
S3,14,5,1130.973355
S3,16,0,318.0862562
S3,17,4,7326.194068
S3,18,3,8356.636459
S3,19,4,4983.351347
S3,20,4,8168.140899
S3,21,0,565.4866776
S3,23,4,6471.680866
S3,24,0,753.9822369
S3,25,0,753.9822369
S3,26,3,1767.145868
S3,27,0,753.9822369
S4,1,3,3958.406744
S4,2,2,1178.097245
S4,3,5,502.6548246
S4,4,2,942.4777961
S4,5,0,785.3981634
S4,6,2,2650.718801
S4,7,4,1731.80295
S4,8,5,4743.804907
S4,9,4,2902.046214
S4,10,5,628.3185307
S4,11,0,1759.291886
S4,13,4,2403.31838
S4,14,3,2010.619298
S4,15,0,402.1238597
S4,17,2,2324.778564
S4,18,2,590.6194189
S4,19,0,169.6460033
S4,20,5,981.7477042
S4,21,2,2324.778564
S4,22,2,1068.141502
S4,24,0,785.3981634
S4,25,2,1872.389222
S4,26,3,2475.575011
S4,27,3,3722.787295
S4,28,4,16925.33042
S4,29,2,1837.831702
S4,30,0,1005.309649
