Station,Cell,Species,Volume
S1,1,3,1570.8
S1,2,2,4036.9
S1,3,5,981.7
S1,4,4,6848.7
S1,5,4,8105.3
S1,6,4,6660.2
S1,7,4,5529.2
S1,8,5,1570.8
S1,9,4,5975.3
S1,10,2,3298.7
S1,11,4,7103.9
S1,12,3,2945.2
S1,13,3,9220.6
S1,14,4,6027.1
S1,15,5,3518.6
S1,16,4,3405.5
S1,17,4,14753.7
S1,18,5,3769.9
S1,19,0,10386.9
S1,20,3,1099.6
S1,21,4,13336.1
S1,22,4,10924.9
S1,23,4,3716.5
S1,24,4,5050.1
S1,25,1,5658.0
S1,26,4,11953.8
S1,27,1,5965.1
S1,28,5,494.8
S1,29,0,2827.4
S2,1,4,8922.1
S2,2,4,6770.1
S2,3,4,14137.2
S2,4,0,2650.7
S2,5,4,6708.1
S2,6,5,754.0
S2,7,5,816.8
S2,8,4,8796.5
S2,9,4,12792.6
S2,10,3,1068.1
S2,11,5,1131.0
S2,12,1,6145.7
S2,13,0,527.8
S2,15,4,9738.9
S2,16,5,1156.1
S2,17,0,11762.1
S2,18,4,11548.5
S2,19,4,9738.9
S2,20,3,8588.3
S2,21,0,2042.0
S2,22,5,1068.1
S2,23,5,4264.7
S2,24,1,9723.2
S2,25,5,1445.1
S2,26,1,5416.1
S2,27,1,3681.9
S2,28,4,4768.9
S2,29,4,4882.0
S2,30,1,3681.9
S2,31,5,1005.3
S2,32,5,1005.3
S2,33,5,2199.1
S2,34,4,4282.0
S2,35,4,13006.2
S2,36,4,19650.7
S2,37,0,816.8
S2,38,4,4282.0
S2,39,0,549.8
S2,40,4,6163.8
S2,41,4,3807.6
S2,42,4,5513.5
S2,43,0,502.7
S2,44,3,1583.4
S2,45,4,9437.3
S2,46,5,603.2
S3,1,5,754.0
S3,2,5,691.2
S3,4,1,2199.1
S3,5,4,6860.5
S3,6,2,2612.2
S3,7,2,2689.2
S3,8,4,9894.4
S3,10,4,3620.7
S3,11,4,5489.9
S3,12,5,1822.1
S3,13,4,2953.1
S3,14,5,1131.0
S3,16,4,7326.2
S3,17,0,318.1
S3,18,3,8356.6
S3,19,0,565.5
S3,20,4,8168.1
S3,22,4,7934.1
S3,23,4,6471.7
S3,24,0,754.0
S3,25,0,754.0
S3,26,3,1767.1
S3,27,0,754.0
S4,1,3,3958.4
S4,3,5,502.7
S4,5,2,942.5
S4,6,2,2650.7
S4,7,5,4743.8
